Time,type_data,unit,Region,sector,category,technology,value
2000,inflow,share,World,stationary_storage,battery,low-nickel,1
2000,inflow,share,World,stationary_storage,battery,high-nickel,0
2000,inflow,share,World,stationary_storage,battery,LFP,0
2000,inflow,share,World,stationary_storage,battery,Na-ion,0
2020,inflow,share,World,stationary_storage,battery,low-nickel,0.15
2020,inflow,share,World,stationary_storage,battery,high-nickel,0.52
2020,inflow,share,World,stationary_storage,battery,LFP,0.33
2020,inflow,share,World,stationary_storage,battery,Na-ion,0
2025,inflow,share,World,stationary_storage,battery,low-nickel,0.03
2025,inflow,share,World,stationary_storage,battery,high-nickel,0.06
2025,inflow,share,World,stationary_storage,battery,LFP,0.9
2025,inflow,share,World,stationary_storage,battery,Na-ion,0.01
2035,inflow,share,World,stationary_storage,battery,low-nickel,0
2035,inflow,share,World,stationary_storage,battery,high-nickel,0.05
2035,inflow,share,World,stationary_storage,battery,LFP,0.9
2035,inflow,share,World,stationary_storage,battery,Na-ion,0.05
2050,inflow,share,World,stationary_storage,battery,low-nickel,0
2050,inflow,share,World,stationary_storage,battery,high-nickel,0.05
2050,inflow,share,World,stationary_storage,battery,LFP,0.75
2050,inflow,share,World,stationary_storage,battery,Na-ion,0.2
