year,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
1988,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,474768.04,,159956.419,-711.173,,380445.437,,,,,1760831.153,,85470.271,,,,7756.300000000003,119711.855,519103.867,,121365.746,1738.016,1127134.0,248848.836,-556.494,-15.965
1991,499233.048,1823472.936,153811.394,-506.311,,260456.167,1600.09,,,,1592878.021,652236.0,81100.04,,,,5946.922999999995,111539.995,467672.772,571662.344,73070.457,3270.366,1219635.0,260854.801,-466.314,
1992,477786.203,2074469.534,168333.809,-605.682,,165827.318,-8569.413,,699.435,,1764214.021,593918.784,106553.055,,,,16798.903000000006,98943.11600000001,409641.875,1196946.1570000001,109921.78899999999,3702.636,1230969.449,283746.498,-243.333,
1993,497967.934,2224705.912,145624.155,-2208.26,,162157.382,-7271.396000000001,,,,1721768.416,567758.397,95126.05,,,,18623.880999999994,135524.47,394527.543,1338214.3930000002,132921.095,3946.435,1305536.0,290917.879,-986.279,-422.242
1994,533887.189,2111402.096,153968.522,-290.524,,160277.469,-7097.968999999999,-39.167,-943.661,,1856355.7280000001,489854.498,82612.615,,,,16570.939,134851.519,403204.384,1510981.527,77143.391,1952.189,1225105.063,314514.212,1437.629,-459.174
1995,580532.502,2008399.712,143325.486,-1453.832,,184931.897,-11554.639,-2248.312,-814.678,,2060354.946,548399.8859999999,107497.959,,334587.153,,-5415.898000000001,150477.822,423264.615,2300184.8959999997,76022.559,-1124.043,1277856.0,250149.816,6.547,-1764.192
1996,581461.15,2280562.861,146452.206,-3821.784,,253470.573,-11993.912,-7421.112,15344.287,,2223383.163,594732.597,124577.008,-27555.73,359661.976,379940.925,329.6100000000006,178359.53,396021.53,1941793.259,88491.398,-1722.823,1324472.437,295123.963,20.546,-375.053
1997,592206.06,2349528.86,226266.577,-3268.783,,295645.848,-17208.811,-4036.216,-1034.553,,2381022.837,653751.414,128683.301,-97286.716,,238140.599,56600.67999999999,182308.974,394361.326,2006058.494,44474.238,-1524.383,1365121.234,245548.137,50.001,-2140.797
1998,555164.528,2397478.216,452735.359,-2368.872,,325026.081,-5447.866,-4505.615,-1381.856,,2545282.317,570806.448,98800.907,-96871.848,397265.096,261417.294,89955.625,247255.206,469905.41099999996,2160946.892,-4897.165000000008,-8732.785,1355205.143,-642831.621,19.142,18485.995
1999,538622.812,2000570.142,318368.03500000003,-4948.078,,286004.16599999997,-10478.580000000002,-4982.928,-1399.473,,2160482.601,506148.079,74246.011,-87311.247,432000.0,552726.899,67661.437,413750.79500000004,660975.839,2841776.52,11301.002999999997,-59329.467000000004,1418558.56,406658.939,-444.343,-8227.373
