type,time,fuel,stage,unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
preparation,1880,coal,refinery,kg,180898.1511201512,3463080.214962726,14998.030358453976,1856.6234992853495,14510.583412150394,50021.66687457604,7993.183400164208,4281.9917658691975,755.3419626744196,404155.8075099423,3514486.2807225026,1661709.2538135909,45488.12905525424,533104.3930610297,316972.2389832094,1776685.9980212178,1419.9800127216806,361627.24092295347,260711.38476739684,2113371.9736850397,27530.21896292665,2283.0756242464495,465729.1115559216,240742.2819373806,16073.211987575898,29685.765332524486
preparation,1881,coal,refinery,kg,226122.688900189,4328850.268703408,18747.537948067467,2320.779374106687,18138.229265187994,62527.08359322004,9991.47925020526,5352.489707336496,944.1774533430246,505194.75938742777,4393107.850903128,2077136.5672669883,56860.1613190678,666380.4913262872,396215.29872901173,2220857.4975265223,1774.9750159021005,452034.05115369183,325889.23095924605,2641714.9671062995,34412.77370365831,2853.844530308062,582161.389444902,300927.85242172575,20091.51498446987,37107.20666565561
preparation,1882,coal,refinery,kg,271347.2266802268,5194620.32244409,22497.045537680966,2784.935248928024,21765.87511822559,75032.50031186405,11989.775100246314,6422.987648803796,1133.0129440116295,606233.7112649134,5271729.421083754,2492563.8807203863,68232.19358288137,799656.5895915446,475458.35847481416,2665028.997031827,2129.970019082521,542440.8613844302,391067.07715109526,3170057.9605275593,41295.32844438997,3424.613436369674,698593.6673338825,361113.42290607095,24109.817981363845,44528.647998786735
preparation,1883,coal,refinery,kg,316571.76446026453,6060390.376184772,26246.553127294454,3249.091123749362,25393.52097126319,87537.91703050806,13988.070950287365,7493.485590271096,1321.8484346802345,707272.6631423989,6150350.99126438,2907991.194173784,79604.22584669491,932932.687856802,554701.4182206164,3109200.496537131,2484.965022262941,632847.6716151686,456244.9233429445,3698400.953948819,48177.88318512163,3995.3823424312873,815025.9452228629,421298.9933904161,28128.120978257823,51950.08933191785
preparation,1884,coal,refinery,kg,361796.3022403023,6926160.429925452,29996.060716907952,3713.246998570699,29021.166824300788,100043.33374915208,15986.366800328417,8563.983531738395,1510.6839253488397,808311.6150198845,7028972.561445005,3323418.5076271817,90976.25811050848,1066208.7861220594,633944.4779664188,3553371.9960424355,2839.960025443361,723254.4818459069,521422.7695347936,4226743.947370079,55060.4379258533,4566.151248492899,931458.2231118432,481484.56387476134,32146.423975151796,59371.53066504897
preparation,1885,coal,refinery,kg,407020.84002034017,7791930.483666134,33745.56830652145,4177.402873392036,32648.812677338392,112548.75046779607,17984.66265036947,9634.481473205695,1699.5194160174442,909350.5668973699,7907594.13162563,3738845.821080579,102348.29037432204,1199484.8843873169,713187.5377122212,3997543.4955477403,3194.9550286237813,813661.2920766452,586600.6157266429,4755086.940791339,61942.992666584956,5136.920154554512,1047890.5010008237,541670.1343591065,36164.72697204577,66792.9719981801
preparation,1886,coal,refinery,kg,497469.91558041575,9523470.591147497,41244.58348574843,5105.714623034711,39904.104383413585,137559.5839050841,21981.254350451574,11775.477356140294,2077.190397354654,1111428.4706523411,9664837.271986883,4569700.447987374,125092.35490194916,1466037.0809178317,871673.6572038259,4885886.494558349,3904.9450349846215,994474.912538122,716956.3081103414,5811772.927633858,75708.10214804827,6278.457966677737,1280755.0567787846,662041.2753277967,44201.33296583372,81635.85466444235
preparation,1887,coal,refinery,kg,587918.9911404912,11255010.698628861,48743.59866497541,6034.026372677386,47159.39608948878,162570.4173423721,25977.84605053368,13916.473239074894,2454.861378691864,1313506.3744073121,11422080.412348133,5400555.074894169,147836.4194295763,1732589.2774483466,1030159.7766954305,5774229.493568958,4614.935041345461,1175288.5329995987,847312.0004940397,6868458.914476379,89473.21162951161,7419.9957788009615,1513619.6125567453,782412.416296487,52237.938959621686,96478.7373307046
preparation,1888,coal,refinery,kg,678368.0667005669,12986550.806110224,56242.6138442024,6962.338122320061,54414.68779556398,187581.2507796601,29974.43775061578,16057.469122009492,2832.5323600290735,1515584.2781622834,13179323.552709386,6231409.701800965,170580.4839572034,1999141.4739788615,1188645.8961870354,6662572.492579566,5324.925047706301,1356102.1534610754,977667.6928777382,7925144.901318898,103238.32111097492,8561.533590924186,1746484.168334706,902783.5572651773,60274.544953409626,111321.6199969668
preparation,1889,coal,refinery,kg,768817.1422606426,14718090.913591584,63741.6290234294,7890.649871962737,61669.97950163918,212592.0842169481,33971.02945069789,18198.465004944093,3210.2033413662834,1717662.1819172546,14936566.693070637,7062264.328707761,193324.5484848305,2265693.670509376,1347132.01567864,7550915.491590176,6034.915054067142,1536915.7739225521,1108023.3852614367,8981830.888161417,117003.43059243826,9703.071403047412,1979348.7241126674,1023154.6982338675,68311.15094719757,126164.50266322905
